NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS4X	660	2.180668830871582	-0.012860876	Yes	
row_1	RPS3A	1137	1.7396690845489502	-0.019800212	Yes	
row_2	RPL34	1284	1.6431654691696167	-0.0064022457	Yes	
row_3	RPL7	1367	1.6011618375778198	0.010614054	Yes	
row_4	RPL9	1407	1.583685278892517	0.030211775	Yes	
row_5	RPS12	1564	1.5107194185256958	0.041099194	Yes	
row_6	RPS27L	1584	1.502305030822754	0.06087255	Yes	
row_7	RPL23	1602	1.4953343868255615	0.080679804	Yes	
row_8	RPL26	1634	1.4803147315979004	0.09935681	Yes	
row_9	RPL17	1708	1.4510279893875122	0.11486374	Yes	
row_10	RPL15	1812	1.4022291898727417	0.12771621	Yes	
row_11	RPS8	1938	1.3613216876983643	0.1385504	Yes	
row_12	RPS6	1985	1.339532732963562	0.15427162	Yes	
row_13	RPL10A	2054	1.3064837455749512	0.1680845	Yes	
row_14	RPL6	2109	1.2834360599517822	0.18249498	Yes	
row_15	RPS3	2129	1.2761693000793457	0.19910398	Yes	
row_16	RPL22	2413	1.1892480850219727	0.1971465	Yes	
row_17	RPL5	2446	1.1801843643188477	0.211558	Yes	
row_18	RPS27	2532	1.1529308557510376	0.22210497	Yes	
row_19	RPL19	2582	1.136455774307251	0.23478732	Yes	
row_20	RPL12	2619	1.124441385269165	0.2481559	Yes	
row_21	RPL37	2624	1.1234750747680664	0.26361403	Yes	
row_22	RPL13A	2808	1.0657271146774292	0.26650015	Yes	
row_23	RPL29	2870	1.0460262298583984	0.27712846	Yes	
row_24	RPL4	2876	1.0441030263900757	0.29141018	Yes	
row_25	RPS16	2878	1.0438504219055176	0.30595127	Yes	
row_26	RPS15A	2880	1.043546438217163	0.3204881	Yes	
row_27	RSL24D1	2911	1.0358575582504272	0.33301142	Yes	
row_28	RPL31	2939	1.0274856090545654	0.3456148	Yes	
row_29	RPS18	2946	1.0269427299499512	0.35959068	Yes	
row_30	RPS26	2959	1.0238101482391357	0.37312838	Yes	
row_31	RPLP1	3017	1.0046180486679077	0.38344014	Yes	
row_32	RPL14	3053	0.9961773753166199	0.39507964	Yes	
row_33	RPLP0	3084	0.9879320859909058	0.40693235	Yes	
row_34	RPL30	3143	0.9746131896972656	0.41675854	Yes	
row_35	RPL28	3203	0.9612888693809509	0.42633253	Yes	
row_36	FAU	3230	0.9543602466583252	0.43797836	Yes	
row_37	RPL11	3285	0.9368966221809387	0.44753963	Yes	
row_38	RPL27A	3340	0.9244592785835266	0.45692685	Yes	
row_39	RPL18	3533	0.8757349252700806	0.4565629	Yes	
row_40	RPL7A	3550	0.8722134232521057	0.46771643	Yes	
row_41	RPS29	3724	0.8343134522438049	0.4680215	Yes	
row_42	RPS27A	3871	0.8046209812164307	0.46968558	Yes	
row_43	RPS2	3919	0.7907916307449341	0.4776624	Yes	
row_44	RPL27	3958	0.7822075486183167	0.48611063	Yes	
row_45	RPS20	3978	0.7783774733543396	0.4957539	Yes	
row_46	RPL22L1	4093	0.7503411769866943	0.49876148	Yes	
row_47	RPS9	4173	0.732234537601471	0.5038159	Yes	
row_48	RPSA	4174	0.7320148348808289	0.5140591	Yes	
row_49	RPL24	4305	0.7048944234848022	0.5153792	Yes	
row_50	RPL37A	4318	0.7012771964073181	0.52440363	Yes	
row_51	RPLP2	4427	0.6778008341789246	0.52679044	Yes	
row_52	RPS17	4432	0.6770755052566528	0.53600204	Yes	
row_53	RPS28	4581	0.6412997245788574	0.53524923	Yes	
row_54	RPS10	4643	0.6251154541969299	0.5399877	Yes	
row_55	RPS21	4666	0.6206172108650208	0.54722625	Yes	
row_56	RPS15	4722	0.6090357899665833	0.552134	Yes	
row_57	RPS7	4758	0.6028606295585632	0.5582697	Yes	
row_58	RPL8	4936	0.5645656585693359	0.5545373	Yes	
row_59	RPL13	4968	0.5563456416130066	0.56028503	Yes	
row_60	RPS19	5243	0.4926399886608124	0.54917127	Yes	
row_61	RPS13	5251	0.49026453495025635	0.55557156	Yes	
row_62	RPS24	5402	0.4633904993534088	0.5521979	Yes	
row_63	RPL36AL	5412	0.46190038323402405	0.5580698	Yes	
row_64	RPS23	5497	0.4410579800605774	0.5587211	Yes	
row_65	RPS5	5524	0.43485358357429504	0.5630974	Yes	
row_66	RPL36	5639	0.4139021337032318	0.5613971	Yes	
row_67	RPS25	5661	0.40966832637786865	0.5657495	Yes	
row_68	RPL35	5705	0.4014319181442261	0.5685409	Yes	
row_69	RPL38	5828	0.3768105208873749	0.5657958	No	
row_70	MRPL13	5903	0.3583296835422516	0.56594664	No	
row_71	RPL3	6025	0.3328682780265808	0.5626524	No	
row_72	RPL21	6124	0.30991503596305847	0.5605485	No	
row_73	RPL18A	6344	0.26754459738731384	0.5498996	No	
row_74	RPL35A	6422	0.25259459018707275	0.5483737	No	
row_75	RPS11	6626	0.21606168150901794	0.5380559	No	
row_76	UBA52	6965	0.16307906806468964	0.5181244	No	
row_77	RPL32	10301	-0.20732228457927704	0.30184835	No	
row_78	RPL10L	13529	-0.5182160139083862	0.09702046	No	
row_79	RPL3L	14036	-0.611303985118866	0.07232009	No	
row_80	RPL26L1	14531	-0.7447835206985474	0.050276164	No	
