NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLR3GL	3213	0.9587652683258057	-0.112467036	No	
row_1	POLR2B	4054	0.7610849738121033	-0.08973328	No	
row_2	POLR3K	5432	0.4563453197479248	-0.13329142	No	
row_3	POLR1B	5707	0.4013828933238983	-0.11023523	No	
row_4	POLR3C	5893	0.36323675513267517	-0.085247375	No	
row_5	POLR3F	5925	0.3541673421859741	-0.05110143	No	
row_6	POLR2H	6174	0.2999214828014374	-0.0367063	No	
row_7	POLR2A	6768	0.1971006989479065	-0.055405494	No	
row_8	POLR2D	7026	0.15014612674713135	-0.056898307	No	
row_9	POLR3A	7105	0.1358029544353485	-0.04813462	No	
row_10	POLR2L	7243	0.11599943786859512	-0.04525727	No	
row_11	POLR1C	7545	0.07408464699983597	-0.05740056	No	
row_12	POLR2K	8012	0.013427727855741978	-0.08654436	No	
row_13	POLR2J	8190	-0.006887235678732395	-0.097431466	No	
row_14	POLR2G	8567	-0.04821792617440224	-0.11712815	No	
row_15	POLR2E	9392	-0.1347227692604065	-0.15732557	No	
row_16	POLR3D	9762	-0.1675054281949997	-0.16437939	No	
row_17	POLR3G	10154	-0.19647017121315002	-0.1699153	No	
row_18	POLR3B	12716	-0.4104648530483246	-0.2956924	Yes	
row_19	POLR3H	12953	-0.4411410689353943	-0.26608682	Yes	
row_20	POLR1E	13674	-0.5416523814201355	-0.25790867	Yes	
row_21	POLR2I	13814	-0.5659025311470032	-0.20920755	Yes	
row_22	POLR1A	14386	-0.6916767954826355	-0.1759483	Yes	
row_23	POLR2C	14404	-0.6980376243591309	-0.10576143	Yes	
row_24	POLR1D	14430	-0.7045648694038391	-0.035431713	Yes	
row_25	POLR2F	14880	-0.9014269709587097	0.027241172	Yes	
