NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PAX8	3	18.19993782043457	0.4021717	Yes	
row_1	CDH1	42	5.616623401641846	0.5238567	Yes	
row_2	TPM3	662	2.180507183074951	0.5315268	Yes	
row_3	CTNNB1	771	2.044583559036255	0.5696562	Yes	
row_4	TP53	911	1.9141453504562378	0.6028717	Yes	
row_5	MYC	1437	1.567649483680725	0.6031485	Yes	
row_6	CCND1	1567	1.5098652839660645	0.628081	Yes	
row_7	MAPK3	1639	1.47622811794281	0.65606815	Yes	
row_8	NRAS	1897	1.3761540651321411	0.66966206	Yes	
row_9	NCOA4	1989	1.3383780717849731	0.69329184	Yes	
row_10	RXRA	2297	1.2203725576400757	0.7001673	Yes	
row_11	TPR	2900	1.0380276441574097	0.6836926	No	
row_12	RXRB	4410	0.680783212184906	0.59992224	No	
row_13	MAPK1	4748	0.6041679382324219	0.5912099	No	
row_14	HRAS	4777	0.5994271039962769	0.6026285	No	
row_15	TCF7L1	5077	0.5273369550704956	0.5947061	No	
row_16	PPARG	6311	0.27262580394744873	0.5199868	No	
row_17	KRAS	6488	0.2391415685415268	0.51374793	No	
row_18	CCDC6	6597	0.2204664647579193	0.51154935	No	
row_19	MAP2K1	7611	0.06370687484741211	0.4466186	No	
row_20	RXRG	8167	-0.0041345092467963696	0.41036424	No	
row_21	TFG	9549	-0.14865106344223022	0.32321188	No	
row_22	TCF7L2	9901	-0.17762628197669983	0.30415264	No	
row_23	NTRK1	11785	-0.32131433486938477	0.18794264	No	
row_24	BRAF	12465	-0.38605475425720215	0.15201135	No	
row_25	MAP2K2	14261	-0.6610039472579956	0.049074214	No	
row_26	LEF1	14767	-0.8431351184844971	0.034643047	No	
