NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLDN4	27	7.201990604400635	0.061939184	Yes	
row_1	CLDN8	82	4.280998229980469	0.09625646	Yes	
row_2	CLDN1	198	3.313613176345825	0.11799575	Yes	
row_3	PARD6G	212	3.2587289810180664	0.14597015	Yes	
row_4	CLDN7	213	3.250155210494995	0.17472526	Yes	
row_5	CRB3	218	3.2165262699127197	0.20291929	Yes	
row_6	CLDN23	304	2.9042811393737793	0.22301376	Yes	
row_7	LLGL2	325	2.8542380332946777	0.24694829	Yes	
row_8	PRKCI	551	2.3408851623535156	0.25283375	Yes	
row_9	IGSF5	642	2.1980080604553223	0.26635015	Yes	
row_10	CASK	672	2.1690025329589844	0.2836292	Yes	
row_11	TJP1	749	2.075465679168701	0.2969839	Yes	
row_12	MYH11	752	2.0708115100860596	0.3151732	Yes	
row_13	CTNNB1	771	2.044583559036255	0.33207625	Yes	
row_14	CTNNA1	837	1.9741030931472778	0.34525895	Yes	
row_15	HCLS1	875	1.9464926719665527	0.36004227	Yes	
row_16	F11R	906	1.9171124696731567	0.37502685	Yes	
row_17	AKT1	979	1.8597416877746582	0.38673654	Yes	
row_18	ASH1L	1038	1.8105905055999756	0.3989338	Yes	
row_19	CLDN3	1078	1.7852671146392822	0.41215894	Yes	
row_20	CTTN	1160	1.7187243700027466	0.42202798	Yes	
row_21	CGN	1190	1.7001526355743408	0.43515897	Yes	
row_22	PRKCH	1227	1.6801332235336304	0.4476516	Yes	
row_23	CDC42	1236	1.6769694089889526	0.46196115	Yes	
row_24	PARD6B	1472	1.5501400232315063	0.46019176	Yes	
row_25	ACTN4	1496	1.539654016494751	0.4722981	Yes	
row_26	AFDN	1548	1.5180866718292236	0.4823687	Yes	
row_27	PATJ	1610	1.4920525550842285	0.49155012	Yes	
row_28	MYL9	1854	1.3902214765548706	0.48783875	Yes	
row_29	MYL12B	1865	1.3850510120391846	0.49943382	Yes	
row_30	NRAS	1897	1.3761540651321411	0.5095665	Yes	
row_31	MPDZ	1929	1.3635406494140625	0.51958764	Yes	
row_32	MYH9	2041	1.311800479888916	0.5238798	Yes	
