NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IVD	700	2.125959634780884	0.00577701	Yes	
row_1	ALDH6A1	732	2.0953381061553955	0.05465869	Yes	
row_2	DBT	970	1.863369345664978	0.084401876	Yes	
row_3	MCEE	1033	1.821103572845459	0.124588214	Yes	
row_4	EHHADH	1069	1.790602445602417	0.1658031	Yes	
row_5	HIBCH	1218	1.6854194402694702	0.19705577	Yes	
row_6	HIBADH	1269	1.650415301322937	0.23388116	Yes	
row_7	BCKDHB	1357	1.607003927230835	0.2672266	Yes	
row_8	PCCB	1569	1.5087354183197021	0.29005688	Yes	
row_9	ACAT2	1576	1.5061918497085571	0.3262618	Yes	
row_10	OXCT1	1672	1.4648603200912476	0.35562903	Yes	
row_11	AUH	1753	1.4278534650802612	0.3850802	Yes	
row_12	ALDH7A1	1756	1.4271111488342285	0.41962573	Yes	
row_13	DLD	1900	1.3758190870285034	0.4436833	Yes	
row_14	MCCC1	2097	1.2892451286315918	0.46216345	Yes	
row_15	ACADM	2206	1.2522608041763306	0.48551276	Yes	
row_16	MCCC2	2244	1.2396066188812256	0.5132082	Yes	
row_17	ABAT	2433	1.1823347806930542	0.5296149	Yes	
row_18	HADHB	2506	1.1597849130630493	0.5530768	Yes	
row_19	ACAT1	2534	1.1521663665771484	0.57930297	Yes	
row_20	HADH	2664	1.1112618446350098	0.59784985	Yes	
row_21	ECHS1	2891	1.0402196645736694	0.6083127	Yes	
row_22	ACAD8	3821	0.8143303394317627	0.5672096	No	
row_23	ALDH1B1	3944	0.7845523357391357	0.5782767	No	
row_24	HSD17B10	4241	0.7181394696235657	0.5763255	No	
row_25	MMUT	4245	0.7172616720199585	0.59355724	No	
row_26	HMGCL	4959	0.5595439076423645	0.56042063	No	
row_27	HMGCS1	6039	0.32880836725234985	0.49768856	No	
row_28	ACADS	6270	0.28072378039360046	0.48943466	No	
row_29	BCAT1	6408	0.2548977732658386	0.48664883	No	
row_30	ALDH3A2	6847	0.18326736986637115	0.4623938	No	
row_31	BCAT2	9359	-0.1311025470495224	0.30099922	No	
row_32	HADHA	10629	-0.23047427833080292	0.22342445	No	
row_33	ALDH9A1	10752	-0.2394254356622696	0.2212458	No	
row_34	IL4I1	11711	-0.31526264548301697	0.16611536	No	
row_35	ACAA2	11870	-0.3284551501274109	0.16374041	No	
row_36	ACADSB	12427	-0.38183727860450745	0.13657619	No	
row_37	ACAA1	13944	-0.5878624320030212	0.051496133	No	
row_38	PCCA	14289	-0.6688353419303894	0.045200787	No	
row_39	BCKDHA	14787	-0.8534007668495178	0.03336192	No	
