"Gene","Biological_Process","Group"
"PIK3R1","cell adhesion; transmembrane receptor protein tyrosine kinase signaling pathway; cell migration; locomotion; cell motility; enzyme-linked receptor protein signaling pathway; immune response; regulation of cell migration; regulation of cell motility; regulation of locomotion; actin filament-based process; positive regulation of cell migration; positive regulation of cell motility; positive regulation of response to stimulus; intracellular signaling cassette; regulation of cell population proliferation; positive regulation of locomotion; positive regulation of multicellular organismal process; regulation of immune system process; negative regulation of developmental process; positive regulation of signal transduction; response to biotic stimulus; positive regulation of immune system process; response to external biotic stimulus; response to other organism; regulation of developmental process; defense response; cell-matrix adhesion; defense response to other organism; regulation of cell adhesion; negative regulation of cell differentiation; biological process involved in interspecies interaction between organisms; cell junction organization; positive regulation of cell communication; positive regulation of signaling; response to endogenous stimulus; actin filament bundle organization; positive regulation of response to external stimulus; cell population proliferation; response to oxygen-containing compound; activation of immune response; cellular response to endogenous stimulus; actin filament bundle assembly; positive regulation of immune response; defense response to symbiont; actin cytoskeleton organization; regulation of actin filament-based process; response to peptide; regulation of multicellular organismal development; homeostatic process; response to peptide hormone; myeloid cell differentiation; positive regulation of transport; innate immune response; positive regulation of cell population proliferation; positive regulation of defense response; cellular response to oxygen-containing compound; regulation of transport; cell-substrate adhesion; negative regulation of programmed cell death; response to insulin; phosphatidylinositol 3-kinase/protein kinase B signal transduction; negative regulation of apoptotic process; positive regulation of gene expression; cellular response to organic substance; positive regulation of smooth muscle cell proliferation; regulation of response to biotic stimulus; regulation of response to external stimulus; regulation of immune response; pattern recognition receptor signaling pathway; innate immune response-activating signaling pathway; actin filament organization; regulation of cell differentiation; activation of innate immune response; cellular response to peptide; positive regulation of response to biotic stimulus; regulation of smooth muscle cell proliferation; positive regulation of innate immune response; chemical homeostasis; regulation of cell-matrix adhesion; myeloid leukocyte migration; immune response-activating signaling pathway; negative regulation of myeloid cell differentiation; cellular response to peptide hormone stimulus; cellular response to organonitrogen compound; response to cytokine; supramolecular fiber organization; regulation of programmed cell death; regulation of apoptotic process; regulation of cell-substrate adhesion; regulation of defense response; positive regulation of transcription by RNA polymerase II; immune response-regulating signaling pathway; regulation of leukocyte migration; positive regulation of DNA-templated transcription; positive regulation of RNA biosynthetic process; apoptotic process; cell death; programmed cell death; cellular response to nitrogen compound; response to nitrogen compound; cellular response to insulin stimulus; regulation of innate immune response; regulation of actomyosin structure organization; response to organonitrogen compound; cell-substrate junction organization; smooth muscle cell proliferation; response to hormone; leukocyte migration; positive regulation of cytokine production; cellular response to cytokine stimulus; cytokine production; regulation of cytokine production; regulation of localization; protein localization to plasma membrane; regulation of myeloid cell differentiation; positive regulation of leukocyte migration; myeloid leukocyte differentiation; regulation of protein localization to plasma membrane; regulation of actin filament bundle assembly; protein localization to cell periphery; regulation of stress fiber assembly; insulin receptor signaling pathway; extrinsic apoptotic signaling pathway","GSEA-enriched biological process and IIS pathway"
"PPP1CB","cell adhesion; carbohydrate metabolic process; regulation of cell adhesion; polysaccharide metabolic process; energy reserve metabolic process; glycogen metabolic process; glucan metabolic process","GSEA-enriched biological process and IIS pathway"
"SREBF1","transmembrane receptor protein tyrosine kinase signaling pathway; enzyme-linked receptor protein signaling pathway; small molecule metabolic process; organic acid metabolic process; oxoacid metabolic process; carboxylic acid metabolic process; lipid metabolic process; regulation of system process; response to endogenous stimulus; response to oxygen-containing compound; organic hydroxy compound metabolic process; cellular response to endogenous stimulus; fatty acid metabolic process; response to peptide; system process; alcohol metabolic process; response to peptide hormone; cellular response to oxygen-containing compound; cellular lipid metabolic process; regulation of transport; monocarboxylic acid metabolic process; response to insulin; cellular response to organic substance; heart process; regulation of heart contraction; lipid biosynthetic process; cellular response to peptide; cellular response to peptide hormone stimulus; heart contraction; steroid metabolic process; cell-cell signaling; cellular response to organonitrogen compound; regulation of heart rate; positive regulation of DNA-templated transcription; positive regulation of RNA biosynthetic process; cellular response to nitrogen compound; response to nitrogen compound; cellular response to insulin stimulus; response to organonitrogen compound; response to hormone; small molecule biosynthetic process; secretion; neutral lipid metabolic process; regulation of localization; acylglycerol metabolic process; sterol metabolic process; circulatory system process; export from cell; regulation of blood circulation; insulin receptor signaling pathway; cholesterol metabolic process","GSEA-enriched biological process and IIS pathway"
"IGF1","transmembrane receptor protein tyrosine kinase signaling pathway; enzyme-linked receptor protein signaling pathway; small molecule metabolic process; positive regulation of response to stimulus; intracellular signaling cassette; regulation of cell population proliferation; carbohydrate metabolic process; positive regulation of signal transduction; positive regulation of cell communication; positive regulation of signaling; cell population proliferation; carbohydrate transport; positive regulation of transport; positive regulation of intracellular signal transduction; positive regulation of cell population proliferation; regulation of transport; negative regulation of programmed cell death; phosphatidylinositol 3-kinase/protein kinase B signal transduction; negative regulation of apoptotic process; polysaccharide metabolic process; phosphorylation; energy reserve metabolic process; glycogen metabolic process; glucan metabolic process; carbohydrate transmembrane transport; regulation of programmed cell death; regulation of apoptotic process; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; transmembrane transport; apoptotic process; cell death; programmed cell death; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; polysaccharide biosynthetic process; regulation of carbohydrate metabolic process; regulation of intracellular signal transduction; hexose transmembrane transport; glucose transmembrane transport; monosaccharide transmembrane transport; regulation of localization; glycogen biosynthetic process; glucan biosynthetic process; regulation of phosphate metabolic process; regulation of phosphorus metabolic process; protein modification process; regulation of generation of precursor metabolites and energy; regulation of phosphorylation","Top IIS regulators, GSEA-enriched biological process and IIS pathway"
"IGF1R","transmembrane receptor protein tyrosine kinase signaling pathway; enzyme-linked receptor protein signaling pathway; phosphorylation","Top IIS regulators, GSEA-enriched biological process and IIS pathway"
"GRB2","transmembrane receptor protein tyrosine kinase signaling pathway; epithelium development; tissue development; embryonic organ development; embryonic morphogenesis; enzyme-linked receptor protein signaling pathway; immune response; chordate embryonic development; embryo development; embryo development ending in birth or egg hatching; morphogenesis of an epithelium; anatomical structure formation involved in morphogenesis; morphogenesis of a branching epithelium; actin filament-based process; morphogenesis of a branching structure; positive regulation of response to stimulus; intracellular signaling cassette; tissue morphogenesis; regulation of immune system process; cellular response to growth factor stimulus; positive regulation of immune system process; response to growth factor; import into cell; response to endogenous stimulus; cellular response to fibroblast growth factor stimulus; response to fibroblast growth factor; response to oxygen-containing compound; activation of immune response; fibroblast growth factor receptor signaling pathway; cellular response to endogenous stimulus; endocytosis; positive regulation of immune response; actin cytoskeleton organization; regulation of actin filament-based process; response to peptide; MAPK cascade; response to peptide hormone; cellular response to oxygen-containing compound; response to insulin; receptor-mediated endocytosis; cellular response to organic substance; regulation of immune response; actin filament organization; cellular response to peptide; regulation of MAPK cascade; immune response-activating signaling pathway; cellular response to peptide hormone stimulus; receptor internalization; vesicle-mediated transport; cellular response to organonitrogen compound; supramolecular fiber organization; immune response-regulating signaling pathway; cellular response to nitrogen compound; response to nitrogen compound; nervous system development; response to organonitrogen compound; response to hormone; regulation of intracellular signal transduction; insulin receptor signaling pathway","GSEA-enriched biological process and IIS pathway"
"PRKACB","tube morphogenesis; tube development; epithelium development; tissue development; embryonic morphogenesis; chordate embryonic development; embryo development; embryo development ending in birth or egg hatching; morphogenesis of an epithelium; anatomical structure formation involved in morphogenesis; tissue morphogenesis; epithelial tube morphogenesis; tube formation; protein processing; phosphorylation; regulation of protein maturation; morphogenesis of embryonic epithelium; epithelial tube formation; nervous system development; regulation of intracellular signal transduction","GSEA-enriched biological process and IIS pathway"
"ACACA","carbohydrate derivative metabolic process; small molecule metabolic process; organic acid metabolic process; oxoacid metabolic process; carboxylic acid metabolic process; lipid metabolic process; sulfur compound metabolic process; response to endogenous stimulus; carbohydrate derivative biosynthetic process; response to oxygen-containing compound; cellular response to endogenous stimulus; fatty acid metabolic process; homeostatic process; multicellular organismal-level homeostasis; cellular response to oxygen-containing compound; cellular lipid metabolic process; sulfur compound biosynthetic process; monocarboxylic acid metabolic process; response to lipid; cellular response to organic substance; lipid biosynthetic process; chemical homeostasis; response to ketone; response to hormone; small molecule biosynthetic process; organophosphate metabolic process; tissue homeostasis; anatomical structure homeostasis; amide metabolic process; nucleoside bisphosphate biosynthetic process; ribonucleoside bisphosphate biosynthetic process; purine nucleoside bisphosphate biosynthetic process; nucleoside bisphosphate metabolic process; ribonucleoside bisphosphate metabolic process; purine nucleoside bisphosphate metabolic process; acyl-CoA metabolic process; thioester metabolic process","GSEA-enriched biological process and IIS pathway"
"FBP2","small molecule metabolic process; carbohydrate metabolic process; small molecule biosynthetic process","GSEA-enriched biological process and IIS pathway"
"FBP1","small molecule metabolic process; carbohydrate metabolic process; small molecule biosynthetic process","GSEA-enriched biological process and IIS pathway"
