gene_id,SRR13389805,SRR13389807,SRR13389809,SRR13389815,SRR13389817,SRR13389818,SRR13389820,SRR13389824,SRR13389834,SRR13389840,SRR13389841,SRR13389849
gene-LOC100684726|LOC100684726,247,220,145,277,242,263,147,177,272,335,238,231
gene-LOC119870369|LOC119870369,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC119870367|LOC119870367,5,2,0,0,3,0,0,2,4,0,0,0
gene-LOC102151484|LOC102151484,3,2,1,1,7,12,5,4,3,4,1,2
gene-LOC100685702|LOC100685702,47,30,15,23,29,38,12,16,45,48,25,24
gene-LOC100685782|LOC100685782,0,0,0,0,0,0,0,0,0,0,0,0
gene-ENPP1|ENPP1,475,539,292,387,732,836,515,410,481,562,130,353
gene-LOC119870691|LOC119870691,0,0,0,0,0,0,0,0,0,0,0,0
gene-PARD6G|PARD6G,35,38,10,46,24,501,10,26,47,35,505,25
gene-ADNP2|ADNP2,1053,991,436,1037,876,1261,497,757,1353,1422,1018,747
gene-LOC100685536|LOC100685536,500,458,527,165,561,18,533,393,110,158,7,298
gene-LOC119870385|LOC119870385,49,29,55,22,63,0,42,37,17,13,0,25
gene-RBFA|RBFA,335,348,157,601,269,848,142,304,357,374,413,229
gene-LOC102154355|LOC102154355,14,19,9,29,10,37,10,20,26,22,27,18
gene-TXNL4A|TXNL4A,364,306,194,564,300,586,184,286,477,497,950,286
gene-SLC66A2|SLC66A2,404,426,269,228,447,973,376,461,94,157,691,263
gene-KCNG2|KCNG2,0,6,4,0,0,52,0,7,5,3,43,2
gene-HSBP1L1|HSBP1L1,11,16,16,15,20,33,16,24,8,5,37,13
gene-LOC111091658|LOC111091658,129,171,277,79,228,16,177,245,39,51,12,146
gene-LOC111091673|LOC111091673,46,49,50,32,62,7,63,63,11,24,8,33
gene-LOC106559849|LOC106559849,44,68,58,30,79,16,67,94,9,16,22,43
gene-LOC111091841|LOC111091841,105,69,130,12,112,0,38,99,11,14,0,44
gene-LOC111091898|LOC111091898,3,0,4,4,3,0,0,4,3,6,0,8
gene-CTDP1|CTDP1,3547,4363,3266,3756,4653,658,4231,3404,2114,2950,757,2935
gene-LOC119870433|LOC119870433,23,37,24,23,35,2,32,22,7,10,1,28
gene-NFATC1|NFATC1,425,386,145,566,349,544,124,360,364,642,400,249
gene-LOC111092007|LOC111092007,32,38,25,30,41,0,37,60,15,24,0,17
gene-LOC119870460|LOC119870460,6,9,0,5,0,0,6,5,0,3,0,0
gene-SALL3|SALL3,29,12,16,37,12,4,9,29,16,43,0,10
gene-LOC111092029|LOC111092029,85,113,115,25,147,0,57,139,17,20,0,64
gene-LOC102155992|LOC102155992,226,244,193,68,236,0,245,185,46,78,2,104
gene-LOC111092037|LOC111092037,114,193,97,45,115,0,82,115,24,52,0,109
gene-LOC119870622|LOC119870622,30,19,11,8,41,0,43,37,9,0,0,29
gene-LOC119870623|LOC119870623,4,8,0,0,8,0,4,5,2,2,0,8
gene-LOC119870458|LOC119870458,26,40,22,28,24,47,22,44,38,30,36,28
gene-ATP9B|ATP9B,1581,1655,840,1133,1408,846,992,1040,1430,1322,938,1142
gene-LOC119870694|LOC119870694,0,0,7,0,9,0,10,6,0,0,0,0
gene-LOC111092121|LOC111092121,16,0,12,8,17,0,17,36,9,6,0,15
gene-LOC111090561|LOC111090561,0,0,0,0,0,0,4,7,0,1,0,2
gene-LOC111090563|LOC111090563,26,22,15,12,34,0,27,34,4,9,0,21
gene-LOC111092046|LOC111092046,534,97,277,173,1227,0,340,1596,142,122,4,276
gene-LOC111092137|LOC111092137,59,94,71,60,93,0,77,45,10,28,0,26
gene-GALR1|GALR1,2,4,0,3,2,48,0,3,2,5,3,2
gene-MBP|MBP,8,7,0,18,6,941,0,7,10,11,306,9
gene-LOC119870510|LOC119870510,19,12,8,25,10,5,5,17,10,27,0,15
gene-LOC119870626|LOC119870626,0,0,1,0,4,0,0,0,4,10,0,0
gene-LOC111092394|LOC111092394,19,18,5,12,7,9,0,13,14,7,0,17
gene-LOC102156552|LOC102156552,211,235,241,339,317,69,274,281,168,215,43,176
